City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-07-27 01:38:54,-0.7393,-90.3518,69.55,93,100,3.0
1,Grindavik,IS,2022-07-27 01:39:37,63.8424,-22.4338,55.35,100,100,17.27
2,Nikolskoye,RU,2022-07-27 01:39:37,59.7035,30.7861,66.09,90,100,4.9
3,Katsuura,JP,2022-07-27 01:39:38,35.1333,140.3,84.22,81,62,15.12
4,Ribeira Grande,PT,2022-07-27 01:39:38,38.5167,-28.7,74.14,85,38,8.72
5,Barrow,US,2022-07-27 01:39:38,71.2906,-156.7887,35.62,93,100,14.97
6,Rikitea,PF,2022-07-27 01:39:39,-23.1203,-134.9692,74.73,74,78,8.55
7,Albany,US,2022-07-27 01:37:38,42.6001,-73.9662,65.88,76,0,4.18
8,Changde,CN,2022-07-27 01:39:39,29.0464,111.6783,90.84,61,99,3.31
9,Bluff,NZ,2022-07-27 01:39:40,-46.6,168.3333,47.8,91,100,20.31
10,Vaini,TO,2022-07-27 01:39:40,-21.2,-175.2,74.05,72,100,12.62
11,Mwinilunga,ZM,2022-07-27 01:39:40,-11.7358,24.4293,51.46,51,47,5.48
12,Mar Del Plata,AR,2022-07-27 01:39:41,-38.0023,-57.5575,54.09,98,100,5.75
13,Edendale,ZA,2022-07-27 01:39:41,-29.6528,30.3147,53.01,33,11,5.91
14,Portland,US,2022-07-27 01:35:31,45.5234,-122.6762,101.89,32,0,8.05
15,Punta Arenas,CL,2022-07-27 01:39:42,-53.15,-70.9167,30.31,86,0,13.8
16,Makakilo City,US,2022-07-27 01:39:42,21.3469,-158.0858,82.72,65,100,18.41
17,Bredasdorp,ZA,2022-07-27 01:39:42,-34.5322,20.0403,49.12,94,23,5.64
18,Kavieng,PG,2022-07-27 01:39:43,-2.5744,150.7967,85.41,63,50,12.62
19,East London,ZA,2022-07-27 01:39:43,-33.0153,27.9116,64.9,46,30,8.52
20,Kapaa,US,2022-07-27 01:39:44,22.0752,-159.319,85.98,71,75,10.36
21,Ushuaia,AR,2022-07-27 01:39:44,-54.8,-68.3,31.66,74,0,5.75
22,Gorontalo,ID,2022-07-27 01:38:35,0.5412,123.0595,81.91,85,92,3.71
23,Tura,IN,2022-07-27 01:39:44,25.5198,90.2201,78.62,80,35,3.42
24,Petropavlovsk-Kamchatskiy,RU,2022-07-27 01:39:45,53.0452,158.6483,66.79,64,75,6.71
25,Butaritari,KI,2022-07-27 01:39:45,3.0707,172.7902,82.08,75,6,18.75
26,Benjamin Constant,BR,2022-07-27 01:39:46,-4.3831,-70.0311,75.33,97,5,2.44
27,Atuona,PF,2022-07-27 01:39:46,-9.8,-139.0333,77.13,76,15,16.33
28,Severo-Kurilsk,RU,2022-07-27 01:39:46,50.6789,156.125,55.02,82,98,5.19
29,Mataura,NZ,2022-07-27 01:39:47,-46.1927,168.8643,47.48,96,100,5.41
30,Beringovskiy,RU,2022-07-27 01:39:47,63.05,179.3167,46.36,96,100,11.61
31,Dutlwe,BW,2022-07-27 01:39:48,-23.9833,23.9,55.36,45,8,9.91
32,Santa Rosa,PH,2022-07-27 01:39:48,14.3122,121.1114,88.09,73,87,4.45
33,Araouane,ML,2022-07-27 01:39:48,18.9048,-3.5265,95.72,11,98,9.42
34,Port Blair,IN,2022-07-27 01:39:49,11.6667,92.75,82.44,83,40,2.3
35,Upernavik,GL,2022-07-27 01:39:49,72.7868,-56.1549,37.92,88,96,8.48
36,Talnakh,RU,2022-07-27 01:39:50,69.4865,88.3972,63.21,55,70,5.12
37,Bilibino,RU,2022-07-27 01:39:50,68.0546,166.4372,50.16,45,32,13.6
38,Jiuquan,CN,2022-07-27 01:39:50,39.7432,98.5174,85.96,10,0,14.03
39,Golega,PT,2022-07-27 01:39:51,39.4047,-8.4863,65.86,89,0,4.0
40,Saint George,US,2022-07-27 01:39:51,37.1041,-113.5841,95.63,31,0,9.22
41,Muswellbrook,AU,2022-07-27 01:39:52,-32.2667,150.9,60.33,45,3,11.05
42,Klaksvik,FO,2022-07-27 01:39:52,62.2266,-6.589,50.92,86,99,7.63
43,Hithadhoo,MV,2022-07-27 01:39:52,-0.6,73.0833,75.76,93,100,13.35
44,Port Alfred,ZA,2022-07-27 01:39:53,-33.5906,26.891,62.19,63,44,8.01
