,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Presidente Epitacio,BR,-21.7633,-52.1156,66.96,48,0,6.13,clear sky
1,Silvan,TR,38.1419,41.0081,71.89,18,0,0.2,clear sky
2,Hermanus,ZA,-34.4187,19.2345,48.79,85,31,6.26,scattered clouds
3,Eureka,US,40.8021,-124.1637,57.61,87,45,3.11,scattered clouds
4,Rikitea,PF,-23.1203,-134.9692,74.88,70,74,2.91,light rain
5,Cherskiy,RU,68.75,161.3,53.37,46,23,15.41,few clouds
6,Avarua,CK,-21.2078,-159.775,73.45,64,40,13.8,scattered clouds
7,Kahramanmaras,TR,38.0,37.0,65.46,50,0,7.92,clear sky
8,Carnarvon,AU,-24.8667,113.6333,72.82,31,88,1.5,overcast clouds
9,Botwood,CA,49.1499,-55.3482,59.9,83,5,7.78,clear sky
10,Upernavik,GL,72.7868,-56.1549,37.98,85,94,6.31,overcast clouds
11,Ixtapa,MX,20.7,-105.2,75.22,100,100,4.61,overcast clouds
12,New Norfolk,AU,-42.7826,147.0587,56.91,64,67,3.85,light rain
13,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,3.44,broken clouds
14,Khatanga,RU,71.9667,102.5,60.03,86,100,11.74,moderate rain
15,Qaanaaq,GL,77.484,-69.3632,37.6,71,56,1.34,broken clouds
16,Kaduqli,SD,11.0167,29.7167,72.14,92,100,2.64,moderate rain
17,Talnakh,RU,69.4865,88.3972,67.21,39,29,5.06,scattered clouds
18,Coquimbo,CL,-29.9533,-71.3436,51.53,100,0,10.36,clear sky
19,Mataura,NZ,-46.1927,168.8643,47.48,95,100,3.83,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,35.26,64,0,10.36,clear sky
21,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,light rain
22,Saint-Philippe,RE,-21.3585,55.7679,70.21,83,61,12.77,light rain
23,Bredasdorp,ZA,-34.5322,20.0403,48.36,92,13,4.74,few clouds
24,Portland,US,45.5234,-122.6762,89.55,53,0,5.75,clear sky
25,Beloha,MG,-25.1667,45.05,63.12,76,2,2.3,clear sky
26,Warrnambool,AU,-38.3833,142.4833,55.78,80,99,17.56,overcast clouds
27,Airai,TL,-8.9266,125.4092,72.25,45,68,5.28,broken clouds
28,Atuona,PF,-9.8,-139.0333,77.56,74,12,17.67,few clouds
29,Tiksi,RU,71.6872,128.8694,56.21,71,80,4.47,broken clouds
30,Nikolskoye,RU,59.7035,30.7861,70.88,76,100,6.24,overcast clouds
31,Vaini,TO,-21.2,-175.2,74.43,72,87,12.95,overcast clouds
32,Nome,US,64.5011,-165.4064,48.27,71,40,13.8,scattered clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,99,4.0,overcast clouds
34,La Ronge,CA,55.1001,-105.2842,59.25,77,75,6.91,broken clouds
35,Hithadhoo,MV,-0.6,73.0833,76.77,87,100,9.78,moderate rain
36,Komsomolskiy,UZ,40.4272,71.7189,95.72,24,3,13.8,clear sky
37,Gornozavodsk,RU,58.3758,58.3211,65.73,50,4,5.7,clear sky
38,Dingle,PH,10.9995,122.6711,87.08,71,88,12.86,overcast clouds
39,Albany,US,42.6001,-73.9662,62.53,83,1,3.62,clear sky
40,Ossora,RU,59.2353,163.0719,59.79,76,100,6.69,overcast clouds
41,Yulara,AU,-25.2406,130.9889,64.96,20,0,11.86,clear sky
42,Busselton,AU,-33.65,115.3333,60.85,64,97,4.03,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,30.31,86,0,13.8,clear sky
44,Paamiut,GL,61.994,-49.6678,41.7,93,60,13.76,broken clouds
45,Clyde River,CA,70.4692,-68.5914,41.23,100,100,4.61,overcast clouds
46,Bethel,US,41.3712,-73.414,68.63,80,0,4.61,clear sky
47,Lamesa,US,32.7376,-101.951,86.52,32,15,18.63,few clouds
48,Hobart,AU,-42.8794,147.3294,57.25,66,20,11.5,few clouds
49,Ilulissat,GL,69.2167,-51.1,42.82,93,100,6.91,overcast clouds
50,Faanui,PF,-16.4833,-151.75,78.58,72,22,7.54,few clouds
51,Kinsale,IE,51.7075,-8.5306,56.57,88,75,2.3,broken clouds
52,Kimberley,ZA,-28.7323,24.7623,53.29,66,0,14.97,clear sky
53,Ternate,ID,0.8,127.4,81.5,79,100,4.54,overcast clouds
54,Provideniya,RU,64.3833,-173.3,48.36,71,0,18.01,clear sky
55,Moroni,KM,-11.7022,43.2551,68.0,83,20,5.75,few clouds
56,Fort Nelson,CA,58.8053,-122.7002,74.79,57,75,4.61,broken clouds
57,Tongren,CN,27.7172,109.1853,97.25,43,40,7.31,scattered clouds
58,Kailaras,IN,26.3167,77.6167,88.59,62,86,8.25,overcast clouds
59,Katsuura,JP,35.1333,140.3,83.23,80,40,15.23,scattered clouds
60,Yellowknife,CA,62.456,-114.3525,63.12,63,20,3.44,few clouds
61,Noyabrsk,RU,63.1994,75.4507,62.08,55,43,13.24,scattered clouds
62,Ayr,GB,55.4627,-4.6339,47.32,100,58,3.44,broken clouds
63,Saint-Augustin,CA,51.226,-58.6502,59.54,77,33,11.59,scattered clouds
64,Bluff,NZ,-46.6,168.3333,47.8,89,100,18.43,light rain
65,Vardo,NO,70.3705,31.1107,60.78,94,75,17.27,broken clouds
